Model,Accuracy,Precision,Recall,F1
RandomForest,0.7650273224043715,0.7591306894125093,0.7650273224043715,0.715468285881215
SVM,0.6967213114754098,0.7315042355667467,0.6967213114754098,0.7054530223221394
LogisticRegression,0.6639344262295082,0.7474988540569335,0.6639344262295082,0.6800206848781007
NaiveBayes,0.587431693989071,0.6443870219174154,0.587431693989071,0.5971537681499719
